word,definition,category
albumin,Major plasma protein,Biochemistry
globulin,Protein family in blood,Biochemistry
hemoglobin,Oxygen carrying protein,Biochemistry
myoglobin,Oxygen storing muscle protein,Biochemistry
ferritin,Iron storage protein,Biochemistry
transferrin,Iron transport protein,Biochemistry
bilirubin,Heme breakdown product,Biochemistry
heme,Iron containing prosthetic group,Biochemistry
porphyrin,Ring structure in heme,Biochemistry
creatine,Energy storage compound,Biochemistry
creatinine,Waste product of creatine metabolism,Biochemistry
urea,Nitrogen waste product,Biochemistry
uricacid,Product of purine breakdown,Biochemistry
ammonia,Toxic nitrogen containing compound,Biochemistry
detoxification,Removal of harmful compounds,Biochemistry
biotin,Vitamin acting as coenzyme,Biochemistry
folate,Vitamin required for nucleotide synthesis,Biochemistry
niacin,Vitamin precursor of NAD,Biochemistry
riboflavin,Vitamin precursor of FAD,Biochemistry
thiamine,Vitamin involved in energy metabolism,Biochemistry
cobalamin,Vitamin B12,Biochemistry
ascorbate,Vitamin C form,Biochemistry
tocopherol,Vitamin E form,Biochemistry
calciferol,Vitamin D form,Biochemistry
retinol,Vitamin A form,Biochemistry
hormone,Chemical messenger molecule,Biochemistry
homeostasis,Maintenance of biochemical balance,Biochemistry
metabolicrate,Rate of energy utilization,Biochemistry
energybalance,Relationship between intake and expenditure,Biochemistry
biosynthesis,Formation of biological molecules,Biochemistry
microbe,Microscopic living organism,Microbiology
bacteria,Single celled prokaryotic organism,Microbiology
virus,Infectious particle requiring a host,Microbiology
fungus,Eukaryotic organism including yeasts and molds,Microbiology
parasite,Organism living at another's expense,Microbiology
pathogen,Disease causing microorganism,Microbiology
infection,Invasion by harmful microorganisms,Microbiology
colonization,Presence of microbes without disease,Microbiology
contamination,Introduction of unwanted microorganisms,Microbiology
transmission,Spread of infectious agents,Microbiology
reservoir,Natural habitat of a pathogen,Microbiology
vector,Organism transmitting disease,Microbiology
host,Organism harboring a microbe,Microbiology
zoonosis,Disease transmitted from animals,Microbiology
epidemic,Rapid spread of disease,Microbiology
pandemic,Worldwide disease outbreak,Microbiology
endemic,Disease constantly present in a region,Microbiology
outbreak,Sudden increase in disease cases,Microbiology
virulence,Degree of pathogenicity,Microbiology
pathogenicity,Ability to cause disease,Microbiology
toxin,Poison produced by microorganisms,Microbiology
endotoxin,Toxin associated with gram negative bacteria,Microbiology
exotoxin,Secreted bacterial toxin,Microbiology
biofilm,Community of microbes on a surface,Microbiology
spore,Dormant resistant microbial structure,Microbiology
capsule,Protective outer bacterial layer,Microbiology
flagellum,Structure enabling microbial movement,Microbiology
fimbriae,Hairlike bacterial attachment structures,Microbiology
pilus,Bacterial structure for adhesion or transfer,Microbiology
plasmid,Small circular DNA molecule,Microbiology
genome,Complete genetic material,Microbiology
mutation,Permanent genetic change,Microbiology
replication,Production of new genetic material,Microbiology
culture,Growth of microorganisms in media,Microbiology
colony,Visible mass of microbial cells,Microbiology
medium,Nutrient material for growth,Microbiology
agar,Solidifying agent in culture media,Microbiology
broth,Liquid culture medium,Microbiology
incubation,Growth under controlled conditions,Microbiology
staining,Technique for visualizing microbes,Microbiology
gramstain,Method classifying bacteria by cell wall,Microbiology
acidfast,Staining characteristic of some bacteria,Microbiology
microscopy,Examination using a microscope,Microbiology
sterilization,Complete destruction of microorganisms,Microbiology
disinfection,Reduction of harmful microorganisms,Microbiology
antiseptic,Agent used on living tissue,Microbiology
asepsis,Absence of pathogenic microbes,Microbiology
decontamination,Removal of microbial contamination,Microbiology
antibiotic,Drug active against bacteria,Microbiology
resistance,Ability to survive antimicrobial drugs,Microbiology
susceptibility,Sensitivity to antimicrobial agents,Microbiology
antifungal,Drug active against fungi,Microbiology
antiviral,Drug active against viruses,Microbiology
antiparasitic,Drug active against parasites,Microbiology
vaccination,Administration of a vaccine,Microbiology
vaccine,Biological preparation inducing immunity,Microbiology
immunity,Protection against infection,Microbiology
antigen,Substance triggering immune response,Microbiology
antibody,Protein targeting antigens,Microbiology
serology,Study of antibodies in blood,Microbiology
immunization,Process of acquiring immunity,Microbiology
bacillus,Rod shaped bacterium,Microbiology
coccus,Spherical bacterium,Microbiology
spirillum,Spiral shaped bacterium,Microbiology
vibrio,Curved rod shaped bacterium,Microbiology
streptococcus,Chain forming spherical bacterium,Microbiology
staphylococcus,Cluster forming spherical bacterium,Microbiology
enterococcus,Intestinal gram positive bacterium,Microbiology
lactobacillus,Lactic acid producing bacterium,Microbiology
clostridium,Spore forming anaerobic bacterium,Microbiology
bacillusgenus,Spore forming aerobic bacterium,Microbiology
mycobacterium,Acid fast bacterial genus,Microbiology
corynebacterium,Gram positive rod bacterium,Microbiology
listeria,Foodborne pathogenic bacterium,Microbiology
salmonella,Enteric pathogenic bacterium,Microbiology
shigella,Cause of bacillary dysentery,Microbiology
escherichia,Common intestinal bacterial genus,Microbiology
klebsiella,Encapsulated gram negative bacterium,Microbiology
proteus,Motile gram negative bacterium,Microbiology
pseudomonas,Opportunistic gram negative bacterium,Microbiology
neisseria,Gram negative diplococcal genus,Microbiology
haemophilus,Respiratory tract pathogen,Microbiology
bordetella,Cause of whooping cough,Microbiology
legionella,Waterborne bacterial pathogen,Microbiology
campylobacter,Curved enteric bacterium,Microbiology
helicobacter,Gastric ulcer associated bacterium,Microbiology
treponema,Spirochete causing syphilis,Microbiology
borrelia,Spirochete causing Lyme disease,Microbiology
chlamydia,Obligate intracellular bacterium,Microbiology
